unique_identifier,timestamp,price
BTC-AUD,1557151490264140,553151
ETH-AUD,1557151490264143,18743
ETH-AUD,1557151490378140,18743
ETH-AUD,1557151490378140,18743
LTC-AUD,1557151490406142,7630
BTC-AUD,1557151490432140,553151
BTC-AUD,1557151490432140,553151
BTC-AUD,1557151490765154,553156
ETH-AUD,1557151490765157,18770
ETH-AUD,1557151490765161,18767
LTC-AUD,1557151490845143,7630
LTC-AUD,1557151490846144,7630
BTC-AUD,1557151490898142,553156
LTC-AUD,1557151490887143,7630
ETH-AUD,1557151490903142,18770
ETH-AUD,1557151490903142,18770
ETH-AUD,1557151490903142,18767
ETH-AUD,1557151490903143,18767
ZEC-AUD,1557151491053145,6874
ZEC-AUD,1557151491053149,6886
ZEC-AUD,1557151491053153,6867
ETH-AUD,1557151491105144,18767
ZEC-AUD,1557151491153143,6874
ZEC-AUD,1557151491153143,6874
